ID,Skillset,Domain,Category_Area,Residing_Country,Professional_Certification,years_of_experience,kaggle_score,no_of_projects,spoken_language,coding_problems_count,hackathons_count,github_score,name,email,gender,age,linked_score,articles_published_count,papers_published_count,patents_count,Skillset_score
0,"D3 js,Parse,Scikit learn,Kafka,Bootstrap,Kibana,Accounting,Jquery,Javascript,Numpy,Elasticsearch,Plotly,Css,Database,Angular,Data science,Natural language processing,Deep learning,Predictive coding,Cassandra,Pandas,Html,Mysql,Dimensionality reduction,Java,Node js,Time series,Security,Computer vision,Docker,Languages,Logstash,Tableau,Python,Analytics,Flask,Cluster analysis,Regular expression,Hbase,Monitoring,Bot,Git,Random forest,Sentiment analysis,Machine learning",DATA SCIENCE,Tech,Singapore,Microsoft Certified: Azure Data Scientist Associate,0,9,6,English,26,5,9,Jinny,jcaldes0@nytimes.com,Female,19,2,10,0,0,0.255866181
1,"Time series,Outlier,Business,Ml,Github,Dimensionality reduction,Python,Keras,Feature selection,Machine learning",DATA SCIENCE,Tech,India,Microsoft Certified: Azure Data Scientist Associate,2,9,2,English,50,2,0,Dewie,dfolk1@topsy.com,Male,26,2,14,5,0,0.099237571
2,"Business,Linux,Marketing,Django,Design,Data science,Deep learning,Pycharm,Data analysis,Mysql,Segmentation,Java,Engineering,Aeronautics,Debian,Languages,Windows,Analytics,Python,Flask,Software,Jupyter notebook,Operating systems,Eclipse,Github,Segment,Ubuntu,Electrical engineering,Machine learning",DATA SCIENCE,Tech,New Zealand,Microsoft Certified: Azure Data Scientist Associate,5,9,6,English,96,4,0,Alister,adominichetti2@google.cn,Male,40,9,11,4,1,0.185389965
3,"Algorithms,Linear programming,Swift,Business,Decision tree,Database,Marketing,Documentation,Design,Server,Data science,Deep learning,Support,Segmentation,Engineering,Time series,Algorithm,Object detection,Visual studio,Testing,Crm,Windows,C,Tableau,Analytics,Python,Nlp,Cluster analysis,Specification,R,Data processing,Sql,Finance,Machine learning",DATA SCIENCE,Tech,China,Microsoft Certified: Azure Data Scientist Associate,9,7,3,German,67,9,1,Karney,kbarwell3@irs.gov,Male,19,4,6,0,4,0.064939076
4,"Data science,Data analysis,C,Python,Java,Data structure,Database",DATA SCIENCE,Tech,Korea,Google Professional Data Engineer,5,1,4,Korean,78,6,1,Rubina,rshevill4@cornell.edu,Female,32,0,3,3,5,0.184309083
5,"Matlab,Data science,Html,C,Python,Machine learning",DATA SCIENCE,Tech,United States,Google Professional Data Engineer,5,10,4,English,83,7,1,Waylon,wrayner5@google.com.au,Male,19,8,10,0,4,0.153357729
6,"Ai,R,Visualization,Data science,Machine learning tools,Data visualization,Business,Computer science,Analytics,Tableau,Python,Engineering,Machine learning",DATA SCIENCE,Tech,Australia,Google Professional Data Engineer,9,6,4,English,55,4,7,Tania,thambric6@usgs.gov,Female,25,5,8,2,0,0.215298131
7,"Algorithms,Computer science,Numpy,Decision tree,Linux,Artificial intelligence,Libraries,Databases,Documentation,Programming language,Linear regression,Data science,Deep learning,Natural language processing,Pandas,Mysql,Engineering,Java,Nlu,Medium,Languages,Windows,C,Python,Analytics,Keras,Nlp,Software,Framework,Google,Bot,Operating system,Operating systems,Tensorflow,Sql,Ubuntu,Support vector machine,Oracle,Logistic regression,Machine learning",DATA SCIENCE,Tech,France,Microsoft Certified: Azure Data Scientist Associate,0,7,3,English,70,2,0,Ade,ajeanequin7@amazonaws.com,Male,28,3,0,2,3,0.237658152
8,"Ai,Scikit learn,Algorithms,Sentiment analysis,Data science,Deep learning,Sql,Computer science,Html,Pandas,Numpy,Mysql,Python,Engineering,Nlp,Selenium,Css,Machine learning",DATA SCIENCE,Tech,United Kingdom,AWS Certified Data Analytics - Specialty,0,1,8,English,39,8,5,Rodrigo,rcoats8@statcounter.com,Male,37,1,7,5,0,0.236649574
9,"Algorithms,Big data,Business,Hadoop,Business intelligence,Selenium,Database,Mobile,Visualization,Data science,Api,Data analysis,Twitter,Apache spark,Data visualization,Data mining,Tableau,Python,Analytics,Nlp,Bot,R,Sentiment analysis,Machine learning",DATA SCIENCE,Tech,Germany,AWS Certified Data Analytics - Specialty,1,2,4,German,86,1,2,Algernon,aframe9@devhub.com,Male,29,4,7,1,5,0.186859562
